꼬츄	NNP 
쓰파	NNP 
걸래년	NNP 
십탱굴이	NNP 
번쎅	NNP 
랄지	NNP 
짱꼴라	NNP 
섀캬	NNP 
띠발	NNP 
창ㄴㅕ	NNP 
버지냄새	NNP 
병쉰	NNP 
개후라새끼	NNP 
빠돼쌍	NNP 
챵녀	NNP 
오입	NNP 
쌴년	NNP 
세에엑스	NNP 
쇅끼	NNP 
십자슥	NNP 
조개벌려조	NNP 
제긜	NNP 
좃같은	NNP 
미친씨부랄	NNP 
섹스하자	NNP 
십창녀	NNP 
좃대가리	NNP 
쌍년	NNP 
ㄴㅣ미	NNP 
뽀찌	NNP 
십버지	NNP 
좆먹어	NNP 
후레자식	NNP 
캐스끼	NNP 
미췬넌	NNP 
눈 깔아	NNP 
늬미럴	NNP 
맛간년	NNP 
씨방년	NNP 
개새끼	NNP 
십창	NNP 
빠순이	NNP 
ㅈㅏ지	NNP 
자지빨아줘	NNP 
씹버지	NNP 
삐리리	NNP 
샫업	NNP 
젖만한	NNP 
자지핧아	NNP 
가슴쪼물딱	NNP 
호랑말코	NNP 
강아지	NNP 
앰병	NNP 
시방새	NNP 
pennis	NNP 
뒤질래	NNP 
좆만한년	NNP 
ㅆㅣ	NNP 
씝할	NNP 
개색히	NNP 
자지털	NNP 
신발끈	NNP 
쓰바	NNP 
젖꼭지	NNP 
걸레같은년	NNP 
개세이	NNP 
존만	NNP 
시부리	NNP 
버지구멍	NNP 
찌랭이	NNP 
씨퐁	NNP 
삐꾸	NNP 
미친년	NNP 
똥구녁	NNP 
씨가랭	NNP 
돌으년	NNP 
후래자식	NNP 
좃빠네	NNP 
십스키	NNP 
피싸개	NNP 
흑돼지	NNP 
젓마난	NNP 
이완용	NNP 
게이	NNP 
애미랄	NNP 
nflavor	NNP 
쉬이펄	NNP 
쓰발	NNP 
오르가즘	NNP 
씨입년	NNP 
코흘리개	NNP 
메친넘	NNP 
쒸이방	NNP 
써글년	NNP 
니아비	NNP 
너거애비	NNP 
호로새끼	NNP 
아굴	NNP 
뇬	NNP 
시뎅	NNP 
ㄴ1ㅇH미	NNP 
개새기	NNP 
후라덜넘	NNP 
자지꽂아	NNP 
씹새리	NNP 
씨벨	NNP 
븽신	NNP 
깜둥이	NNP 
시부랄	NNP 
니아배	NNP 
시팔년	NNP 
시이부	NNP 
c8	NNP 
싯끼	NNP 
맛없는년	NNP 
년놈	NNP 
18것	NNP 
시팔넘	NNP 
쥐랄	NNP 
ㅆ1밸	NNP 
짜지	NNP 
솔개	NNP 
디질래	NNP 
쒸이벌	NNP 
운영자	NNP 
병자	NNP 
족까	NNP 
통구이드립	NNP 
뒤져	NNP 
스패킹	NNP 
미친쇄리	NNP 
계같은뇬	NNP 
제길	NNP 
ㅅㅐㄱㄱㅣ	NNP 
딸따리	NNP 
개가튼넘	NNP 
븅딱	NNP 
혀로보지핧기	NNP 
낙태아	NNP 
씹알	NNP 
썅늠	NNP 
조찐	NNP 
맛이간년	NNP 
짜져	NNP 
왕털보지	NNP 
ㄱH뇬	NNP 
개넘	NNP 
씨브럴	NNP 
창놈	NNP 
때놈	NNP 
쉬빨	NNP 
좆만	NNP 
괴뢰군	NNP 
쌍놈	NNP 
썅넘	NNP 
접밥	NNP 
쑤우시자	NNP 
질알	NNP 
시불	NNP 
버짓물마셔	NNP 
18색	NNP 
주디	NNP 
졸래	NNP 
좆같다	NNP 
씨팍새끼	NNP 
돈놈	NNP 
새갸	NNP 
막대핧아줘	NNP 
양아치	NNP 
개같은놈	NNP 
좋같은	NNP 
유두빨어	NNP 
불한당	NNP 
븅싄	NNP 
뒈진다	NNP 
쓰벌	NNP 
주길년	NNP 
좃밥	NNP 
좆이	NNP 
불할	NNP 
사까아시	NNP 
조개마셔줘	NNP 
좆빨아	NNP 
폐인 	NNP 
쓰이발	NNP 
오랄	NNP 
쌍노무새끼	NNP 
미친쇠리	NNP 
쉐키	NNP 
십쉐이	NNP 
앰흑	NNP 
jot	NNP 
엠창인생	NNP 
수전노	NNP 
똥꼬충	NNP 
팔럼	NNP 
똘마니	NNP 
떨거지	NNP 
거지새끼	NNP 
조빠	NNP 
시밟	NNP 
까대	NNP 
써글	NNP 
빠큐	NNP 
뒈지다	NNP 
곧휴	NNP 
호로	NNP 
좆빠지게	NNP 
엠병	NNP 
시팔	NNP 
새X	NNP 
구녕	NNP 
멍청이	NNP 
씹빨	NNP 
개쉑히	NNP 
씌뱅	NNP 
빌어먹	NNP 
씹물	NNP 
쉬이붕	NNP 
시댕이	NNP 
병신	NNP 
미췐	NNP 
벌레	NNP 
병신새끼	NNP 
시팔놈	NNP 
씨부럴	NNP 
씨브랄	NNP 
빸유	NNP 
개좌식	NNP 
꼽사리	NNP 
매국노	NNP 
애새끼	NNP 
십때끼	NNP 
sex	NNP 
개처럼	NNP 
쌉년	NNP 
광녀	NNP 
개쉐	NNP 
씨이발	NNP 
좃	NNP 
좆만한	NNP 
좆같은	NNP 
엠플레버	NNP 
damm	NNP 
홍어	NNP 
쇼하네	NNP 
뱅마	NNP 
십새	NNP 
니애뷔	NNP 
씹자지	NNP 
이스끼	NNP 
뱅쉰	NNP 
ㄴ1ㅁ1	NNP 
저빱	NNP 
게색기	NNP 
쒸박	NNP 
설명충	NNP 
급식충	NNP 
변태	NNP 
새꺄	NNP 
쇄키	NNP 
잡것	NNP 
젓떠	NNP 
오라질	NNP 
버지핧아	NNP 
호모	NNP 
죶니	NNP 
슈발	NNP 
잡뇬	NNP 
후레자슥애	NNP 
창남	NNP 
성교	NNP 
좃보지	NNP 
쉑	NNP 
니미를	NNP 
이그니스	NNP 
병딱	NNP 
뼝신	NNP 
전두환	NNP 
루저	NNP 
우라질	NNP 
애미	NNP 
shutup	NNP 
쫄보	NNP 
니어메	NNP 
엄창	NNP 
쎽	NNP 
즤랄	NNP 
ㅁㅊ	NNP 
ㅅㅂ	NNP 
시바라	NNP 
돌대가리	NNP 
뵹신	NNP 
쎡	NNP 
유두	NNP 
쌍눔	NNP 
시이풀	NNP 
후장	NNP 
곧츄	NNP 
쒸이바	NNP 
호졉	NNP 
뒈질	NNP 
내조지	NNP 
젓빠지게	NNP 
존나	NNP 
ㅆㅣ방	NNP 
괴뢰	NNP 
개섀끼	NNP 
자지핧아줘	NNP 
잠지물마셔	NNP 
좃또	NNP 
개쌔꺄	NNP 
쉽새	NNP 
토착왜구	NNP 
좆나게	NNP 
ㄱH	NNP 
씹빵구	NNP 
ㅅㅍ	NNP 
걸레년	NNP 
미튄	NNP 
지X	NNP 
쉬빡	NNP 
버지따먹기	NNP 
븅신	NNP 
좃만한쉐이	NNP 
걔수작	NNP 
쫍빱	NNP 
트랜스젠더	NNP 
등쉰	NNP 
개쑈	NNP 
같은년	NNP 
